authors,ebook_price,genres,isbn,pages,publication_date,publisher,rank,reviews,title
Emma Chase,0.00,Genres - Romance - Contemporary - Contemporary Romance - Humor - New Adult - Adult - Chick Lit - ,,254,"August 2, 2013 ",Gallery Books,116992,10084,Tangled
Abbi Glines,9.99,Genres - Romance - New Adult - Contemporary - Contemporary Romance - Young Adult - Chick Lit - Adult - ,9781301627448,193,"February 25, 2013 ",Smashwords,120779,6315,Never Too Far
Jamie McGuire,12.99,Genres - Romance - New Adult - Contemporary - Contemporary Romance - Young Adult - College - Fiction - ,9781476712987,448,"April 2, 2013 ",Atria Books,194507,12673,Walking Disaster
Sylvia Day,9.99,Genres - Romance - Erotica - Contemporary Romance - Contemporary - Adult - Erotic Romance - BDSM - ,,356,"June 4, 2013 ",Berkley,205807,10657,Entwined with You
S.C. Stephens,0.00,Genres - Romance - New Adult - Contemporary - Contemporary Romance - Music - Adult - Erotica - ,,546,"March 5, 2013 ",Gallery Books,77564,5390,Reckless
Cassandra Clare,10.99,Genres - Fantasy - Young Adult - Romance - Paranormal - Historical Fiction - Steampunk - Urban Fantasy - ,9781406321340,567,"September 5, 2013 ",Walker Books Ltd,434754,38850,Clockwork Princess
Christina Lauren,8.99,Genres - Romance - Contemporary - Contemporary Romance - Erotica - Adult - New Adult - Fiction - ,9781476730103,271,"February 12, 2013 ",Gallery Books,203191,12278,Beautiful Bastard
Katy Evans,0.00,Genres - Romance - New Adult - Sports - Contemporary - Contemporary Romance - Sports Romance - Fighters - ,9781301347940,293,"April 8, 2013 ",Smashwords,111716,8233,Real
Veronica Roth,7.49,Genres - Young Adult - Dystopia - Fiction - Fantasy - Science Fiction - Romance - Adventure - ,9780007524273,531,"October 22, 2013 ",HarperCollins Children's Book's,1024309,70331,Allegiant
Leigh Bardugo,9.99,Genres - Fantasy - Young Adult - Fiction - Romance - Young Adult Fantasy - LGBT - Magic - ,,561,"September 27, 2016 ",Orion Children's Books,598453,67618,Crooked Kingdom
Victoria Aveyard,12.99,Genres - Fantasy - Young Adult - Dystopia - Romance - Fiction - Young Adult Fantasy - Audiobook - ,9780062310668,444,"February 9, 2016 ",HarperTeen,340430,26839,Glass Sword
T.J. Klune,12.99,Genres - Fantasy - Fiction - LGBT - Romance - Queer - Young Adult - Adult - ,,394,"March 17, 2020 ",Tor Books,554470,90036,The House in the Cerulean Sea
Colleen Hoover,11.99,Genres - Romance - Fiction - Contemporary - New Adult - Audiobook - Contemporary Romance - Adult - ,,386,"August 2, 2016 ",Atria Books,2938592,232221,It Ends with Us
Cassandra Clare,10.99,Genres - Fantasy - Young Adult - Romance - Paranormal - Urban Fantasy - Young Adult Fantasy - Fiction - ,9781442468351,688,"March 8, 2016 ",Margaret K. McElderry Books,222684,21866,Lady Midnight
V.E. Schwab,0.00,Genres - Fantasy - Fiction - Young Adult - Magic - Adult - Audiobook - Romance - ,9780765376473,512,"February 23, 2016 ",Tor,183897,23419,A Gathering of Shadows
Maggie Stiefvater,7.99,Genres - Fantasy - Young Adult - Paranormal - LGBT - Romance - Fiction - Urban Fantasy - ,9780545424981,439,"April 26, 2016 ",Scholastic Press,140020,19844,The Raven King
J.K. Rowling,0.00,Genres - Fantasy - Fiction - Young Adult - Plays - Magic - Adventure - Middle Grade - ,,343,"July 31, 2016 ","Little, Brown",982423,72845,Harry Potter and the Cursed Child: Parts One and Two
Sarah J. Maas,8.21,Genres - Fantasy - Young Adult - Romance - New Adult - Fae - Magic - Fiction - ,,689,"September 6, 2016 ",Bloomsbury Children's Books,510773,41500,Empire of Storms
Jeanine Cummins,0.00,Genres - Fiction - Contemporary - Audiobook - Historical Fiction - Book Club - Thriller - Adult - ,,459,"January 21, 2020 ",Flatiron Books,541658,43061,American Dirt
Sarah J. Maas,8.21,Genres - Fantasy - Romance - Young Adult - New Adult - Fiction - Fae - Fantasy Romance - ,9781635575583,624,"June 2, 2020 ",Bloomsbury Publishing,1419571,123979,A Court of Mist and Fury
Jamie McGuire,12.99,Genres - Romance - New Adult - Contemporary - Contemporary Romance - Young Adult - College - Fiction - ,9781476712987,448,"April 2, 2013 ",Atria Books,194507,12673,Walking Disaster
Christina Lauren,8.99,Genres - Romance - Contemporary - Contemporary Romance - Erotica - Adult - New Adult - Fiction - ,9781476730103,271,"February 12, 2013 ",Gallery Books,203191,12278,Beautiful Bastard
Sylvia Day,9.99,Genres - Romance - Erotica - Contemporary Romance - Contemporary - Adult - Erotic Romance - BDSM - ,,356,"June 4, 2013 ",Berkley,205807,10657,Entwined with You
S.C. Stephens,0.00,Genres - Romance - New Adult - Contemporary - Contemporary Romance - Music - Adult - Erotica - ,,546,"March 5, 2013 ",Gallery Books,77564,5390,Reckless
Abbi Glines,9.99,Genres - Romance - New Adult - Contemporary - Contemporary Romance - Young Adult - Chick Lit - Adult - ,9781301627448,193,"February 25, 2013 ",Smashwords,120780,6315,Never Too Far
Cassandra Clare,10.99,Genres - Fantasy - Young Adult - Romance - Paranormal - Historical Fiction - Steampunk - Urban Fantasy - ,9781406321340,567,"September 5, 2013 ",Walker Books Ltd,434756,38851,Clockwork Princess
Katy Evans,0.00,Genres - Romance - New Adult - Sports - Contemporary - Contemporary Romance - Sports Romance - Fighters - ,9781301347940,293,"April 8, 2013 ",Smashwords,111716,8233,Real
J.K. Rowling,0.00,Genres - Fantasy - Fiction - Young Adult - Plays - Magic - Adventure - Middle Grade - ,,343,"July 31, 2016 ","Little, Brown",982423,72845,Harry Potter and the Cursed Child: Parts One and Two
Sarah J. Maas,8.21,Genres - Fantasy - Romance - Young Adult - New Adult - Fiction - Fae - Fantasy Romance - ,9781635575583,624,"June 2, 2020 ",Bloomsbury Publishing,1419692,123994,A Court of Mist and Fury
Leigh Bardugo,9.99,Genres - Fantasy - Young Adult - Fiction - Romance - Young Adult Fantasy - LGBT - Magic - ,,561,"September 27, 2016 ",Orion Children's Books,598453,67618,Crooked Kingdom
T.J. Klune,12.99,Genres - Fantasy - Fiction - LGBT - Romance - Queer - Young Adult - Adult - ,,394,"March 17, 2020 ",Tor Books,554470,90036,The House in the Cerulean Sea
V.E. Schwab,0.00,Genres - Fantasy - Fiction - Young Adult - Magic - Adult - Audiobook - Romance - ,9780765376473,512,"February 23, 2016 ",Tor,183897,23419,A Gathering of Shadows
Sarah J. Maas,8.21,Genres - Fantasy - Romance - Fiction - Urban Fantasy - Fae - Adult - New Adult - ,9781635574043,803,"March 3, 2020 ",Bloomsbury Publishing,492888,55332,House of Earth and Blood
Helen Hoang,12.99,Genres - Romance - Contemporary - Fiction - Contemporary Romance - Adult - Audiobook - Chick Lit - ,9780451490827,296,"May 7, 2019 ",Berkley,157740,19356,The Bride Test
Christina Lauren,10.99,Genres - Romance - Contemporary - Fiction - Contemporary Romance - Audiobook - Adult - Chick Lit - ,,432,"May 14, 2019 ",Gallery Books,763022,73083,The Unhoneymooners
Margaret Atwood,12.99,Genres - Fiction - Dystopia - Science Fiction - Feminism - Audiobook - Classics - Adult - ,,422,"September 10, 2019 ",Nan A. Talese,339732,30562,The Testaments
Tara Westover,9.99,Genres - Nonfiction - Memoir - Biography - Audiobook - Biography Memoir - Autobiography - Book Club - ,,352,"February 20, 2018 ",Random House,1429996,103402,Educated
Angie Thomas,14.99,Genres - Young Adult - Fiction - Contemporary - Audiobook - Realistic Fiction - Race - Social Justice - ,,454,"February 28, 2017 ",Balzer + Bray,854867,74301,The Hate U Give
Taylor Jenkins Reid,14.99,Genres - Fiction - Romance - Historical Fiction - LGBT - Contemporary - Audiobook - Queer - ,9781501139239,389,"June 13, 2017 ",Atria Books,2612412,244331,The Seven Husbands of Evelyn Hugo
Stephanie Garber,9.99,Genres - Fantasy - Young Adult - Romance - Fiction - Young Adult Fantasy - Magic - Mystery - ,9781250095251,407,"January 31, 2017 ",Flatiron Books,434803,56792,Caraval
Madeline Miller,4.99,Genres - Fantasy - Fiction - Mythology - Historical Fiction - Greek Mythology - Retellings - Audiobook - ,9780316556347,393,"April 10, 2018 ","Little, Brown and Company",970461,95243,Circe
Kristin Hannah,3.99,Genres - Fiction - Historical Fiction - Audiobook - Historical - Romance - Adult - Adult Fiction - ,,435,"February 6, 2018 ",St. Martin's Press,709877,62990,The Great Alone
Fredrik Backman,13.99,Genres - Fiction - Contemporary - Audiobook - Sports - Adult - Literary Fiction - Adult Fiction - ,(ISBN10:,432,"April 25, 2017 ",Simon & Schuster,400782,45525,Beartown
V.E. Schwab,0.00,Genres - Fantasy - Fiction - Young Adult - Magic - Adult - Romance - LGBT - ,9780765387462,624,"February 21, 2017 ",Tor,149966,19560,A Conjuring of Light
Helen Hoang,7.99,Genres - Romance - Contemporary - Fiction - Contemporary Romance - Adult - Audiobook - Chick Lit - ,(ISBN10:,323,"June 5, 2018 ",Berkley,414400,45641,The Kiss Quotient
Tayari Jones,11.99,Genres - Fiction - Contemporary - Audiobook - Literary Fiction - Romance - Adult - Adult Fiction - ,9781616201340,308,"February 6, 2018 ",Algonquin Books,350314,28803,An American Marriage
